Actuator length [m],Bar angle [deg],Lift height [m]
0.6,41.40962210927085,0.7937253933193771
0.6045226130653266,41.75796944199351,0.7991825171032191
0.6090452261306533,42.106549924607336,0.8046137227040078
0.6135678391959799,42.455371640199544,0.8100188744414805
0.6180904522613065,42.80444259241464,0.8153978328794022
0.6226130653266332,43.153770710839204,0.8207504549048582
0.6271356783919598,43.50336385617367,0.8260765938024507
0.6316582914572864,43.85322982520373,0.831376099323658
0.636180904522613,44.20337635558403,0.8366488177515998
0.6407035175879396,44.55381113044502,0.8418945919614236
0.6452261306532663,44.904541782834286,0.8471132614765343
0.6497487437185929,45.25557590000194,0.8523046625208538
0.6542713567839196,45.60692102754015,0.8574686280672987
0.6587939698492462,45.958584673385054,0.8626049878826404
0.6633165829145728,46.310574311690296,0.867713568568914
0.6678391959798995,46.66289738657947,0.8727941936015208
0.6723618090452261,47.015561315785476,0.8778466833641628
0.6768844221105528,47.368573494183565,0.8828708551807408
0.6814070351758794,47.721941297225115,0.8878665233443368
0.6859296482412061,48.07567208427816,0.8928334991433916
0.6904522613065327,48.429773201881154,0.8977715908851865
0.6949748743718592,48.78425198691524,0.9026806039167244
0.6994974874371859,49.139115769700794,0.9075603406431016
0.7040201005025125,49.49437187702342,0.9124106005434601
0.7085427135678392,49.850027635094044,0.9172311801845918
0.7130653266331658,50.20609037244823,0.9220218732322768
0.7175879396984924,50.56256742278885,0.9267824704604184
0.7221105527638191,50.9194661277766,0.9315127597580402
0.7266331658291457,51.27679383977241,0.9362125261342034
0.7311557788944724,51.63455792453566,0.9408815517209008
0.735678391959799,51.992765763882055,0.9455196157739736
0.7402010050251255,52.35142475830467,0.9501264946720995
0.7447236180904522,52.710542329561754,0.954701961913895
0.7492462311557788,53.07012592323464,0.9592457881131669
0.7537688442211055,53.430183011258904,0.9637577409923506
0.7582914572864321,53.79072109443206,0.968237585374167
0.7628140703517587,54.151747704900785,0.9726850831715251
0.7673366834170854,54.51327040863054,0.9770999933756949
0.771859296482412,54.875296807860494,0.9814820720427746
0.7763819095477387,55.237834543546604,0.9858310722784716
0.7809045226130653,55.600891297795506,0.9901467442212123
0.785427135678392,55.964474796291846,0.9944288350235964
0.7899497487437186,56.32859281072171,0.9986770888322061
0.7944723618090452,56.6932531611947,1.0028912467657793
0.7989949748743719,57.05846371866706,1.0070710468917556
0.8035175879396985,57.424232407368514,1.0112162242011935
0.8080402010050252,57.790567207234965,1.015326510582068
0.8125628140703517,58.15747615634979,1.0194016347909423
0.8170854271356783,58.52496735339584,1.023441322423014
0.821608040201005,58.89304896012064,1.0274452958805285
0.8261306532663316,59.261729203817076,1.031413274339555
0.8306532663316583,59.631016379822036,1.0353449737151132
0.8351758793969849,60.000918854035085,1.0392401066246426
0.8396984924623115,60.37144506545991,1.0430983823497952
0.8442211055276382,60.742603528770346,1.046919506796543
0.8487437185929648,61.11440283690393,1.0507031824535755
0.8532663316582914,61.48685166368475,1.054449108348971
0.857788944723618,61.859958766478584,1.058156980005121
0.8623115577889446,62.23373298888212,1.061826489391875
0.8668341708542713,62.60818326344915,1.0654573248778922
0.8713567839195979,62.98331861445603,1.0690491711801582
0.8758793969849246,63.35914816070887,1.0726017093116433
0.8804020100502512,63.735681118395064,1.0761146165270679
0.8849246231155778,64.11292680398167,1.0795875662667351
0.8894472361809045,64.49089463716335,1.0830202280983996
0.8939698492462311,64.86959414386257,1.0864122676571246
0.8984924623115578,65.24903495928464,1.089763346583088
0.9030150753768844,65.62922683103055,1.0930731224572923
0.907537688442211,66.01017962227063,1.0963412487351278
0.9120603015075377,66.39190331498143,1.0995673746777395
0.9165829145728643,66.77440801324967,1.1027511452811425
0.921105527638191,67.1577039466455,1.1058922012030323
0.9256281407035176,67.54180147366901,1.1089901786872267
0.9301507537688443,67.92671108527284,1.1120447094856767
0.9346733668341708,68.31244340846443,1.115055420777985
0.9391959798994974,68.69900920999149,1.1180219350883567
0.9437185929648241,69.08641940011425,1.1209438701999144
0.9482412060301507,69.47468503646809,1.1238208390662972
0.9527638190954774,69.86381732802089,1.1266524497204689
0.957286432160804,70.25382763912845,1.1294383051806454
0.9618090452261306,70.64472749369281,1.1321780033532587
0.9663316582914572,71.0365285794273,1.1348711369328632
0.9708542713567838,71.4292427522331,1.1375172932988875
0.9753768844221105,71.82288204069162,1.1401160544091307
0.9798994974874371,72.21745865067811,1.1426669966898997
0.9844221105527637,72.61298497010077,1.1451696909226747
0.9889447236180904,73.00947357377129,1.147623702127187
0.993467336683417,73.40693722841178,1.1500285894407878
0.9979899497487437,73.80538889780398,1.1523839059939835
1.0025125628140703,74.20484174808657,1.1546891987819987
1.007035175879397,74.60530915320682,1.1569440085322347
1.0115577889447236,75.0068047005328,1.15914786956747
1.0160804020100502,75.40934219663319,1.161300309664657
1.0206030150753769,75.81293567323127,1.1634008499091495
1.0251256281407035,76.21759939334076,1.1654490045441943
1.0296482412060302,76.623347857591,1.1674442808155134
1.0341708542713568,77.03019581074928,1.1693861788107884
1.0386934673366834,77.43815824844908,1.171274191293858
1.04321608040201,77.84725042413255,1.1731078035334217
1.0477386934673367,78.25748785621677,1.1748864931260392
1.0522613065326634,78.66888633549293,1.1766097298132034
1.05678391959799,79.081461932769,1.1782769752922513
1.0613065326633166,79.49523100676603,1.179887683020864
1.0658291457286433,79.91021021227937,1.1814412980149067
1.07035175879397,80.3264165086162,1.182937256639326
1.0748743718592966,80.743867168322,1.1843749863918283
1.079396984924623,81.16257978620801,1.1857539056790374
1.0839195979899496,81.58257228869412,1.1870734235848144
1.0884422110552763,82.00386294348034,1.1883329396304112
1.092964824120603,82.42647036956248,1.1895318435261095
1.0974874371859296,82.85041354760739,1.1906695149139772
1.1020100502512562,83.27571183070417,1.1917453231013562
1.1065326633165828,83.70238495550896,1.1927586267846777
1.1110552763819095,84.13045305380146,1.1937087737631737
1.1155778894472361,84.55993666447239,1.194595100642035
1.1201005025125628,84.99085674596246,1.1954169325245378
1.1246231155778894,85.42323468917435,1.1961735826926398
1.129145728643216,85.8570923308799,1.1968643522755122
1.1336683417085427,86.29245196764717,1.1974885299054505
1.1381909547738693,86.72933637031221,1.19804539136057
1.142713567839196,87.16776879902235,1.1985341991936656
1.1472361809045226,87.60777301887967,1.1989542023465696
1.151758793969849,88.04937331621399,1.1993046357493136
1.1562814070351757,88.49259451551795,1.199584719903351
1.1608040201005023,88.93746199707707,1.199793660448059
1.165326633165829,89.38400171533083,1.1999306477096903
1.1698492462311556,89.83224021800267,1.1999948562318914
1.1743718592964822,90.28220466603862,1.1999854442868616
1.1788944723618089,90.73392285439779,1.1999015533661548
1.1834170854271355,91.18742323373945,1.1997423076500782
1.1879396984924622,91.64273493305518,1.1995068134545703
1.1924623115577888,92.09988778329725,1.1991941586543715
1.1969849246231155,92.55891234205764,1.1988034120812234
1.201507537688442,93.01983991935595,1.1983336228957562
1.2060301507537687,93.4827026045978,1.1977838199316342
1.2105527638190954,93.94753329477011,1.1971530110104316
1.215075376884422,94.41436572394318,1.1964401822256185
1.2195979899497487,94.88323449415518,1.1956442971939227
1.2241206030150753,95.35417510775913,1.1947642962722136
1.228643216080402,95.82722400131847,1.1937990957379363
1.2331658291457286,96.30241858114277,1.1927475869309787
1.2376884422110552,96.77979726056256,1.191608635354714
1.2422110552763819,97.259399499048,1.1903810797337941
1.2467336683417085,97.74126584328528,1.189063731026107
1.2512562814070352,98.22543797033126,1.1876553713861107
1.2557788944723618,98.71195873297751,1.1861547530765675
1.2603015075376884,99.20087220746302,1.1845605973254705
1.264824120603015,99.69222374368695,1.1828715931247218
1.2693467336683417,100.18606001808317,1.1810863959668585
1.2738693467336684,100.6824290893316,1.1792036265158425
1.278391959798995,101.18138045709487,1.1772218692076144
1.2829145728643216,101.68296512398373,1.175139670775786
1.2874371859296483,102.18723566097096,1.1729555386974668
1.291959798994975,102.69424627649164,1.1706679395538264
1.2964824120603016,103.20405288948726,1.1682752972995527
1.3010050251256282,103.71671320667198,1.1657759914348782
1.3055276381909549,104.23228680432406,1.1631683550733334
1.3100502512562815,104.75083521493026,1.1604506728977853
1.3145728643216081,105.27242201904033,1.1576211789967035
1.3190954773869348,105.79711294271974,1.1546780545718773
1.3236180904522614,106.32497596102341,1.1516194255080436
1.3281407035175878,106.85608140795173,1.1484433597940304
1.3326633165829145,107.39050209339212,1.145147864784073
1.3371859296482411,107.92831342759635,1.1417308842869276
1.3417085427135678,108.46959355379612,1.1381902954692389
1.3462311557788944,109.01442348961642,1.1345239055583427
1.350753768844221,109.56288727801075,1.1307294483282626
1.3552763819095477,110.11507214851414,1.1268045803510622
1.3597989949748743,110.67106868968831,1.1227468769939635
1.364321608040201,111.23097103372415,1.1185538281406493
1.3688442211055276,111.79487705426503,1.114222833612975
1.3733668341708543,112.3628885786268,1.1097511982668362
1.377889447236181,112.93511161571571,1.1051361267331616
1.3824120603015073,113.51165660108751,1.1003747177718821
1.386934673366834,114.09263866074876,1.0954639582032142
1.3914572864321606,114.67817789548299,1.0904007163766238
1.3959798994974872,115.26839968768695,1.0851817351333546
1.4005025125628139,115.86343503293374,1.0798036242133118
1.4050251256281405,116.4634208987417,1.0742628520513344
1.4095477386934672,117.06850061332764,1.0685557369012921
1.4140703517587938,117.67882428746432,1.0626784372189646
1.4185929648241205,118.29454927295271,1.0566269412260723
1.423115577889447,118.9158406616687,1.0503970555679984
1.4276381909547737,119.54287182966007,1.0439843929664387
1.4321608040201004,120.17582503136359,1.0373843587551965
1.436683417085427,120.81489204970225,1.0305921361722747
1.4412060301507537,121.4602749086201,1.0236026702639838
1.4457286432160803,122.1121866555416,1.0164106502364927
1.450251256281407,122.77085222232714,1.0090104900666048
1.4547738693467336,123.43650937456586,1.0013963071558611
1.4592964824120602,124.10940976053926,0.9935618987795979
1.4638190954773869,124.78982007294752,0.9855007160443123
1.4683417085427135,125.47802333857318,0.9772058350214344
1.4728643216080402,126.17432035352957,0.968669924671889
1.4773869346733668,126.87903128469245,0.9598852111117991
1.4819095477386934,127.59249746144742,0.950843437693049
1.48643216080402,128.31508338614015,0.9415358202802644
1.4909547738693467,129.04717899675828,0.9319529969944609
1.4954773869346734,129.78920222162375,0.9220849715584568
1.5,130.54160187350453,0.9119210492142398
